latitude, longitude
40.6065218234,-75.3777993053
40.6065223587,-75.3777969317
40.6065228575,-75.3777945517
40.6065233331,-75.3777925367
40.6065236936,-75.3777907553
40.6065239469,-75.3777891844
40.6065241831,-75.3777879002
40.6065244458,-75.377786677
40.6065246291,-75.3777855737
40.606524779,-75.3777844638
40.6065249047,-75.377783396
40.6065250038,-75.3777823875
40.6065251454,-75.377781437
40.6065252566,-75.3777805482
40.6065253704,-75.3777796808
40.6065255252,-75.3777789044
40.6065255244,-75.3777789069
40.6065255236,-75.3777789094
40.6065255228,-75.3777789119
40.606525522,-75.3777789145
40.6065255212,-75.377778917
40.6065255204,-75.3777789195
40.6065255197,-75.377778922
40.6065255189,-75.3777789245
40.6065255181,-75.377778927
40.6065255173,-75.3777789295
40.6065255165,-75.377778932
40.6065255157,-75.3777789346
40.6065255149,-75.3777789371
40.6065255141,-75.3777789396
40.6065255133,-75.3777789421
40.6065255125,-75.3777789446
40.6065255117,-75.3777789471
40.6065255109,-75.3777789496
40.6065255101,-75.3777789521
40.6065255093,-75.3777789547
40.6065255085,-75.3777789572
40.6065255077,-75.3777789597
40.6065255069,-75.3777789622
40.6065255061,-75.3777789647
40.6065255053,-75.3777789672
40.6065255045,-75.3777789697
40.6065255037,-75.3777789723
40.6065255029,-75.3777789748
40.6065255022,-75.3777789773
40.6065255014,-75.3777789798
40.6065255006,-75.3777789823
40.6065254998,-75.3777789848
40.606525499,-75.3777789873
40.6065254982,-75.3777789899
40.6065254974,-75.3777789924
40.6065254966,-75.3777789949
40.6065254958,-75.3777789974
40.606525495,-75.3777789999
40.6065254942,-75.3777790024
40.6065254934,-75.3777790049
40.6065254926,-75.3777790074
40.6065254918,-75.37777901
40.606525491,-75.3777790125
40.6065254902,-75.377779015
40.6065254894,-75.3777790175
40.6065254887,-75.37777902
40.6065254879,-75.3777790225
40.6065254871,-75.377779025
40.6065254863,-75.3777790276
40.6065254855,-75.3777790301
40.6065254847,-75.3777790326
40.6065254839,-75.3777790351
40.6065254831,-75.3777790376
40.6065254823,-75.3777790401
40.6065254815,-75.3777790426
40.6065254807,-75.3777790452
40.6065254799,-75.3777790477
40.6065254791,-75.3777790502
40.6065254783,-75.3777790527
40.6065254775,-75.3777790552
40.6065254767,-75.3777790577
40.606525476,-75.3777790602
40.6065254752,-75.3777790628
40.6065254744,-75.3777790653
40.6065254736,-75.3777790678
40.6065254728,-75.3777790703
40.606525472,-75.3777790728
40.6065254712,-75.3777790753
40.6065254704,-75.3777790778
40.6065254696,-75.3777790804
40.6065254688,-75.3777790829
40.606525468,-75.3777790854
40.6065254672,-75.3777790879
40.6065254664,-75.3777790904
40.6065254657,-75.3777790929
40.6065254649,-75.3777790954
40.6065254641,-75.377779098
40.6065254633,-75.3777791005
40.6065254625,-75.377779103
40.6065254617,-75.3777791055
40.6065254609,-75.377779108
40.6065254601,-75.3777791105
40.6065254593,-75.3777791131
40.6065254585,-75.3777791156
40.6065254577,-75.3777791181
40.6065254569,-75.3777791206
40.6065254561,-75.3777791231
40.6065254554,-75.3777791256
40.6065254546,-75.3777791281
40.6065254538,-75.3777791307
40.606525453,-75.3777791332
40.6065254522,-75.3777791357
40.6065254514,-75.3777791382
40.6065254506,-75.3777791407
40.6065254498,-75.3777791432
40.606525449,-75.3777791458
40.6065254482,-75.3777791483
40.6065254474,-75.3777791508
40.6065254467,-75.3777791533
40.6065254459,-75.3777791558
40.6065254451,-75.3777791583
40.6065254443,-75.3777791608
40.6065254435,-75.3777791634
40.6065254427,-75.3777791659
40.6065254419,-75.3777791684
40.6065254411,-75.3777791709
40.6065254403,-75.3777791734
40.6065254395,-75.3777791759
40.6065254387,-75.3777791785
40.606525438,-75.377779181
40.6065254372,-75.3777791835
40.6065254364,-75.377779186
40.6065254356,-75.3777791885
40.6065254348,-75.377779191
40.606525434,-75.3777791935
40.6065254332,-75.3777791961
40.6065254324,-75.3777791986
40.6065254316,-75.3777792011
40.6065254308,-75.3777792036
40.6065254301,-75.3777792061
40.6065254293,-75.3777792086
40.6065254285,-75.3777792112
40.6065254277,-75.3777792137
40.6065254269,-75.3777792162
40.6065254261,-75.3777792187
40.6065254253,-75.3777792212
40.6065254245,-75.3777792237
40.6065254237,-75.3777792263
40.606525423,-75.3777792288
40.6065254222,-75.3777792313
40.6065254214,-75.3777792338
40.6065254206,-75.3777792363
40.6065254198,-75.3777792388
40.606525419,-75.3777792414
40.6065254182,-75.3777792439
40.6065254174,-75.3777792464
40.6065254166,-75.3777792489
40.6065254158,-75.3777792514
40.6065254151,-75.3777792539
40.6065254143,-75.3777792565
40.6065254135,-75.377779259
40.6065254127,-75.3777792615
40.6065254119,-75.377779264
40.6065254111,-75.3777792665
40.6065254103,-75.377779269
40.6065254095,-75.3777792716
40.6065254088,-75.3777792741
40.606525408,-75.3777792766
40.6065254072,-75.3777792791
40.6065254064,-75.3777792816
40.6065254056,-75.3777792841
40.6065254048,-75.3777792867
40.606525404,-75.3777792892
40.6065254032,-75.3777792917
40.6065254024,-75.3777792942
40.6065254017,-75.3777792967
40.6065254009,-75.3777792992
40.6065254001,-75.3777793018
40.6065253993,-75.3777793043
40.6065253985,-75.3777793068
40.6065253977,-75.3777793093
40.6065253969,-75.3777793118
40.6065253961,-75.3777793144
40.6065253954,-75.3777793169
40.6065253946,-75.3777793194
40.6065253938,-75.3777793219
40.606525393,-75.3777793244
40.6065253922,-75.3777793269
40.6065253914,-75.3777793295
40.6065253906,-75.377779332
40.6065253898,-75.3777793345
40.6065253891,-75.377779337
40.6065253883,-75.3777793395
40.6065253875,-75.377779342
40.6065253867,-75.3777793446
40.6065253859,-75.3777793471
40.6065253851,-75.3777793496
40.6065253843,-75.3777793521
40.6065253836,-75.3777793546
40.6065253828,-75.3777793572
40.606525382,-75.3777793597
40.6065253812,-75.3777793622
40.6065253804,-75.3777793647
40.6065253796,-75.3777793672
40.6065253788,-75.3777793697
40.606525378,-75.3777793723
40.6065253773,-75.3777793748
40.6065253765,-75.3777793773
40.6065253757,-75.3777793798
40.6065253749,-75.3777793823
40.6065253741,-75.3777793849
40.6065253733,-75.3777793874
40.6065253725,-75.3777793899
40.6065253718,-75.3777793924
40.606525371,-75.3777793949
40.6065253702,-75.3777793974
40.6065253694,-75.3777794
40.6065253686,-75.3777794025
40.6065253678,-75.377779405
